periodid,periodname,periodcode,perioddescription,Measles
202101,January 2021,202101,,409
202102,February 2021,202102,,832
202103,March 2021,202103,,845
202104,April 2021,202104,,381
202105,May 2021,202105,,609
202106,June 2021,202106,,1019
202107,July 2021,202107,,641
202108,August 2021,202108,,1007
202109,September 2021,202109,,1239
202110,October 2021,202110,,983
202111,November 2021,202111,,1117
202112,December 2021,202112,,1101
202201,January 2022,202201,,1247
202202,February 2022,202202,,774
202203,March 2022,202203,,658
202204,April 2022,202204,,548
202205,May 2022,202205,,623
202206,June 2022,202206,,1899
202207,July 2022,202207,,537
202208,August 2022,202208,,616
202209,September 2022,202209,,506
202210,October 2022,202210,,759
202211,November 2022,202211,,1117
202212,December 2022,202212,,806
202301,January 2023,202301,,541
202302,February 2023,202302,,374
202303,March 2023,202303,,688
202304,April 2023,202304,,669
202305,May 2023,202305,,923
202306,June 2023,202306,,1074
202307,July 2023,202307,,821
202308,August 2023,202308,,1137
202309,September 2023,202309,,942
202310,October 2023,202310,,972
202311,November 2023,202311,,728
202312,December 2023,202312,,1143
202401,January 2024,202401,,1252
202402,February 2024,202402,,736
202403,March 2024,202403,,1595
202404,April 2024,202404,,709
202405,May 2024,202405,,498
202406,June 2024,202406,,490
202407,July 2024,202407,,425
202408,August 2024,202408,,492
202409,September 2024,202409,,733
202410,October 2024,202410,,1219
202411,November 2024,202411,,779
202412,December 2024,202412,,
